group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,BTG2,7.0890374,0.98654884,1.3504818612381026e-12,5.678762188233236e-11,0.4038950042337002,0.2574772431729519
0,CALM1,7.062843,0.6067822,1.6313004087194459e-12,6.83119711527112e-11,0.7281964436917866,0.5897269180754227
0,LINC01619,7.0507684,1.0199723,1.7793235258997511e-12,7.420329409247086e-11,0.38187976291278575,0.22756827048114434
0,PPA1,6.972161,0.95424587,3.1210904026931743e-12,1.2804700706870616e-10,0.3937341236240474,0.24772431729518857
0,STK17A,6.8464875,0.8182399,7.568517612515115e-12,3.0494190683412493e-10,0.46824724809483487,0.3049414824447334
0,PITPNC1,6.72249,0.8576308,1.7864508490212833e-11,6.869345032757505e-10,0.43183742591024554,0.2847854356306892
0,GRAP2,6.679736,1.2547364,2.3937250223169703e-11,9.152265085327607e-10,0.2768839966130398,0.11703511053315994
0,TECR,6.6008334,1.1404281,4.088533897702783e-11,1.5573387309780884e-09,0.3082133784928027,0.15929778933680103
0,TSC22D3,6.445269,0.508314,1.1539534756372416e-10,4.298317310909549e-09,0.77307366638442,0.676853055916775
0,IL2RG,6.427256,0.74624866,1.2992782658648818e-10,4.821871964290476e-09,0.4775613886536833,0.31209362808842656
0,ST13,6.421096,0.7660196,1.352969875136225e-10,5.002773070293472e-09,0.45385266723116,0.32054616384915474
0,SNRPN,6.4087253,1.0695078,1.4674117937771483e-10,5.4160348432366055e-09,0.31837425910245554,0.16644993498049415
0,ESYT2,6.381915,1.1753438,1.7488689667707566e-10,6.396496152243277e-09,0.2955122777307367,0.1553966189856957
0,CD44,6.372354,0.5997762,1.861484930785346e-10,6.783854812624218e-09,0.6519898391193903,0.5286085825747724
0,BIN1,6.3237605,1.0556617,2.552734666559912e-10,9.276986883942009e-09,0.31837425910245554,0.17230169050715213
0,PSIP1,6.2607512,1.2783005,3.831273362541248e-10,1.3691048592006941e-08,0.26587637595258257,0.12613784135240572
0,MZT2A,6.2451777,1.0097349,4.2331891036112565e-10,1.504753652190532e-08,0.3285351397121084,0.18985695708712613
0,STAT3,6.2353454,0.9328255,4.5078211548191034e-10,1.59956474872581e-08,0.35817104149026247,0.2269180754226268
0,ARHGEF3,6.224651,1.1577559,4.826293569115554e-10,1.7065841561001956e-08,0.29466553767993225,0.15669700910273082
0,ZC3HAV1,6.148951,1.0193086,7.799696740191229e-10,2.7483739767788816e-08,0.32176121930567314,0.18530559167750324
0,RNF125,6.073153,1.2131056,1.254229138028499e-09,4.3512930610230565e-08,0.26926333615580017,0.13133940182054615
0,PPP1R2,6.0715265,0.843257,1.2670000310102744e-09,4.3880723676735976e-08,0.3937341236240474,0.2613784135240572
0,MZT2B,5.974191,0.7336445,2.3123433011510286e-09,7.873645725434462e-08,0.4386113463166808,0.31209362808842656
0,RBL2,5.89312,1.1120851,3.789717518183729e-09,1.2711579854524728e-07,0.275190516511431,0.14044213263979194
0,ZBTB20,5.8712378,0.7256203,4.3255350906587346e-09,1.4460871527878276e-07,0.4360711261642676,0.3107932379713914
